"","descriptive_colnames","colheaders_raw","colheaders_processed","FieldID","instance","array","Path","Category","Field","Participants","Items","Stability","ValueType","Units","ItemType","Strata","Sexed","Instances","Array","Coding","Notes","Link"
"11","clinical_ldl_cholesterol_f23404_1_0","23404-1.0","f23404_1_0","23404","1","0","Biological samples > Blood assays > NMR metabolomics","220","Clinical LDL Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Clinical LDL Cholesterol from Nightingale Health data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23404"
"12","ldl_cholesterol_f23405_0_0","23405-0.0","f23405_0_0","23405","0","0","Biological samples > Blood assays > NMR metabolomics","220","LDL Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"LDL Cholesterol from Nightingale Health data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23405"
"13","ldl_cholesterol_f23405_1_0","23405-1.0","f23405_1_0","23405","1","0","Biological samples > Blood assays > NMR metabolomics","220","LDL Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"LDL Cholesterol from Nightingale Health data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23405"
"14","hdl_cholesterol_f23406_0_0","23406-0.0","f23406_0_0","23406","0","0","Biological samples > Blood assays > NMR metabolomics","220","HDL Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"HDL Cholesterol from Nightingale Health data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23406"
"15","hdl_cholesterol_f23406_1_0","23406-1.0","f23406_1_0","23406","1","0","Biological samples > Blood assays > NMR metabolomics","220","HDL Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"HDL Cholesterol from Nightingale Health data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23406"
"16","total_triglycerides_f23407_0_0","23407-0.0","f23407_0_0","23407","0","0","Biological samples > Blood assays > NMR metabolomics","220","Total Triglycerides","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Triglycerides from Nightingale Health data. Biomarker group: Triglycerides","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23407"
"17","total_triglycerides_f23407_1_0","23407-1.0","f23407_1_0","23407","1","0","Biological samples > Blood assays > NMR metabolomics","220","Total Triglycerides","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Triglycerides from Nightingale Health data. Biomarker group: Triglycerides","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23407"
"18","triglycerides_in_vldl_f23408_0_0","23408-0.0","f23408_0_0","23408","0","0","Biological samples > Blood assays > NMR metabolomics","220","Triglycerides in VLDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Triglycerides in VLDL from Nightingale Health data. Biomarker group: Triglycerides","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23408"
"19","triglycerides_in_vldl_f23408_1_0","23408-1.0","f23408_1_0","23408","1","0","Biological samples > Blood assays > NMR metabolomics","220","Triglycerides in VLDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Triglycerides in VLDL from Nightingale Health data. Biomarker group: Triglycerides","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23408"
"20","triglycerides_in_ldl_f23409_0_0","23409-0.0","f23409_0_0","23409","0","0","Biological samples > Blood assays > NMR metabolomics","220","Triglycerides in LDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Triglycerides in LDL from Nightingale Health data. Biomarker group: Triglycerides","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23409"
"21","triglycerides_in_ldl_f23409_1_0","23409-1.0","f23409_1_0","23409","1","0","Biological samples > Blood assays > NMR metabolomics","220","Triglycerides in LDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Triglycerides in LDL from Nightingale Health data. Biomarker group: Triglycerides","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23409"
"22","triglycerides_in_hdl_f23410_0_0","23410-0.0","f23410_0_0","23410","0","0","Biological samples > Blood assays > NMR metabolomics","220","Triglycerides in HDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Triglycerides in HDL from Nightingale Health data. Biomarker group: Triglycerides","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23410"
"23","triglycerides_in_hdl_f23410_1_0","23410-1.0","f23410_1_0","23410","1","0","Biological samples > Blood assays > NMR metabolomics","220","Triglycerides in HDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Triglycerides in HDL from Nightingale Health data. Biomarker group: Triglycerides","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23410"
"24","total_phospholipids_in_lipoprotein_particles_f23411_0_0","23411-0.0","f23411_0_0","23411","0","0","Biological samples > Blood assays > NMR metabolomics","220","Total Phospholipids in Lipoprotein Particles","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Phospholipids in Lipoprotein Particles from Nightingale Health data. Biomarker group: Phospholipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23411"
"25","total_phospholipids_in_lipoprotein_particles_f23411_1_0","23411-1.0","f23411_1_0","23411","1","0","Biological samples > Blood assays > NMR metabolomics","220","Total Phospholipids in Lipoprotein Particles","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Phospholipids in Lipoprotein Particles from Nightingale Health data. Biomarker group: Phospholipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23411"
"26","phospholipids_in_vldl_f23412_0_0","23412-0.0","f23412_0_0","23412","0","0","Biological samples > Blood assays > NMR metabolomics","220","Phospholipids in VLDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Phospholipids in VLDL from Nightingale Health data. Biomarker group: Phospholipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23412"
"27","phospholipids_in_vldl_f23412_1_0","23412-1.0","f23412_1_0","23412","1","0","Biological samples > Blood assays > NMR metabolomics","220","Phospholipids in VLDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Phospholipids in VLDL from Nightingale Health data. Biomarker group: Phospholipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23412"
"28","phospholipids_in_ldl_f23413_0_0","23413-0.0","f23413_0_0","23413","0","0","Biological samples > Blood assays > NMR metabolomics","220","Phospholipids in LDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Phospholipids in LDL from Nightingale Health data. Biomarker group: Phospholipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23413"
"29","phospholipids_in_ldl_f23413_1_0","23413-1.0","f23413_1_0","23413","1","0","Biological samples > Blood assays > NMR metabolomics","220","Phospholipids in LDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Phospholipids in LDL from Nightingale Health data. Biomarker group: Phospholipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23413"
"30","phospholipids_in_hdl_f23414_0_0","23414-0.0","f23414_0_0","23414","0","0","Biological samples > Blood assays > NMR metabolomics","220","Phospholipids in HDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Phospholipids in HDL from Nightingale Health data. Biomarker group: Phospholipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23414"
"31","phospholipids_in_hdl_f23414_1_0","23414-1.0","f23414_1_0","23414","1","0","Biological samples > Blood assays > NMR metabolomics","220","Phospholipids in HDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Phospholipids in HDL from Nightingale Health data. Biomarker group: Phospholipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23414"
"32","total_esterified_cholesterol_f23415_0_0","23415-0.0","f23415_0_0","23415","0","0","Biological samples > Blood assays > NMR metabolomics","220","Total Esterified Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Esterified Cholesterol from Nightingale Health data. Biomarker group: Cholesteryl esters","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23415"
"33","total_esterified_cholesterol_f23415_1_0","23415-1.0","f23415_1_0","23415","1","0","Biological samples > Blood assays > NMR metabolomics","220","Total Esterified Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Esterified Cholesterol from Nightingale Health data. Biomarker group: Cholesteryl esters","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23415"
"34","cholesteryl_esters_in_vldl_f23416_0_0","23416-0.0","f23416_0_0","23416","0","0","Biological samples > Blood assays > NMR metabolomics","220","Cholesteryl Esters in VLDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Cholesteryl Esters in VLDL from Nightingale Health data. Biomarker group: Cholesteryl esters","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23416"
"35","cholesteryl_esters_in_vldl_f23416_1_0","23416-1.0","f23416_1_0","23416","1","0","Biological samples > Blood assays > NMR metabolomics","220","Cholesteryl Esters in VLDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Cholesteryl Esters in VLDL from Nightingale Health data. Biomarker group: Cholesteryl esters","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23416"
"36","cholesteryl_esters_in_ldl_f23417_0_0","23417-0.0","f23417_0_0","23417","0","0","Biological samples > Blood assays > NMR metabolomics","220","Cholesteryl Esters in LDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Cholesteryl Esters in LDL from Nightingale Health data. Biomarker group: Cholesteryl esters","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23417"
"37","cholesteryl_esters_in_ldl_f23417_1_0","23417-1.0","f23417_1_0","23417","1","0","Biological samples > Blood assays > NMR metabolomics","220","Cholesteryl Esters in LDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Cholesteryl Esters in LDL from Nightingale Health data. Biomarker group: Cholesteryl esters","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23417"
"38","cholesteryl_esters_in_hdl_f23418_0_0","23418-0.0","f23418_0_0","23418","0","0","Biological samples > Blood assays > NMR metabolomics","220","Cholesteryl Esters in HDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Cholesteryl Esters in HDL from Nightingale Health data. Biomarker group: Cholesteryl esters","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23418"
"39","cholesteryl_esters_in_hdl_f23418_1_0","23418-1.0","f23418_1_0","23418","1","0","Biological samples > Blood assays > NMR metabolomics","220","Cholesteryl Esters in HDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Cholesteryl Esters in HDL from Nightingale Health data. Biomarker group: Cholesteryl esters","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23418"
"40","total_free_cholesterol_f23419_0_0","23419-0.0","f23419_0_0","23419","0","0","Biological samples > Blood assays > NMR metabolomics","220","Total Free Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Free Cholesterol from Nightingale Health data. Biomarker group: Free cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23419"
"41","total_free_cholesterol_f23419_1_0","23419-1.0","f23419_1_0","23419","1","0","Biological samples > Blood assays > NMR metabolomics","220","Total Free Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Free Cholesterol from Nightingale Health data. Biomarker group: Free cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23419"
"42","free_cholesterol_in_vldl_f23420_0_0","23420-0.0","f23420_0_0","23420","0","0","Biological samples > Blood assays > NMR metabolomics","220","Free Cholesterol in VLDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Free Cholesterol in VLDL from Nightingale Health data. Biomarker group: Free cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23420"
"43","free_cholesterol_in_vldl_f23420_1_0","23420-1.0","f23420_1_0","23420","1","0","Biological samples > Blood assays > NMR metabolomics","220","Free Cholesterol in VLDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Free Cholesterol in VLDL from Nightingale Health data. Biomarker group: Free cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23420"
"44","free_cholesterol_in_ldl_f23421_0_0","23421-0.0","f23421_0_0","23421","0","0","Biological samples > Blood assays > NMR metabolomics","220","Free Cholesterol in LDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Free Cholesterol in LDL from Nightingale Health data. Biomarker group: Free cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23421"
"45","free_cholesterol_in_ldl_f23421_1_0","23421-1.0","f23421_1_0","23421","1","0","Biological samples > Blood assays > NMR metabolomics","220","Free Cholesterol in LDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Free Cholesterol in LDL from Nightingale Health data. Biomarker group: Free cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23421"
"46","free_cholesterol_in_hdl_f23422_0_0","23422-0.0","f23422_0_0","23422","0","0","Biological samples > Blood assays > NMR metabolomics","220","Free Cholesterol in HDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Free Cholesterol in HDL from Nightingale Health data. Biomarker group: Free cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23422"
"47","free_cholesterol_in_hdl_f23422_1_0","23422-1.0","f23422_1_0","23422","1","0","Biological samples > Blood assays > NMR metabolomics","220","Free Cholesterol in HDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Free Cholesterol in HDL from Nightingale Health data. Biomarker group: Free cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23422"
"48","total_lipids_in_lipoprotein_particles_f23423_0_0","23423-0.0","f23423_0_0","23423","0","0","Biological samples > Blood assays > NMR metabolomics","220","Total Lipids in Lipoprotein Particles","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Lipids in Lipoprotein Particles from Nightingale Health data. Biomarker group: Total lipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23423"
"49","total_lipids_in_lipoprotein_particles_f23423_1_0","23423-1.0","f23423_1_0","23423","1","0","Biological samples > Blood assays > NMR metabolomics","220","Total Lipids in Lipoprotein Particles","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Lipids in Lipoprotein Particles from Nightingale Health data. Biomarker group: Total lipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23423"
"50","total_lipids_in_vldl_f23424_0_0","23424-0.0","f23424_0_0","23424","0","0","Biological samples > Blood assays > NMR metabolomics","220","Total Lipids in VLDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Lipids in VLDL from Nightingale Health data. Biomarker group: Total lipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23424"
"51","total_lipids_in_vldl_f23424_1_0","23424-1.0","f23424_1_0","23424","1","0","Biological samples > Blood assays > NMR metabolomics","220","Total Lipids in VLDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Lipids in VLDL from Nightingale Health data. Biomarker group: Total lipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23424"
"52","total_lipids_in_ldl_f23425_0_0","23425-0.0","f23425_0_0","23425","0","0","Biological samples > Blood assays > NMR metabolomics","220","Total Lipids in LDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Lipids in LDL from Nightingale Health data. Biomarker group: Total lipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23425"
"53","total_lipids_in_ldl_f23425_1_0","23425-1.0","f23425_1_0","23425","1","0","Biological samples > Blood assays > NMR metabolomics","220","Total Lipids in LDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Lipids in LDL from Nightingale Health data. Biomarker group: Total lipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23425"
"54","total_lipids_in_hdl_f23426_0_0","23426-0.0","f23426_0_0","23426","0","0","Biological samples > Blood assays > NMR metabolomics","220","Total Lipids in HDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Lipids in HDL from Nightingale Health data. Biomarker group: Total lipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23426"
"55","total_lipids_in_hdl_f23426_1_0","23426-1.0","f23426_1_0","23426","1","0","Biological samples > Blood assays > NMR metabolomics","220","Total Lipids in HDL","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Lipids in HDL from Nightingale Health data. Biomarker group: Total lipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23426"
"56","total_concentration_of_lipoprotein_particles_f23427_0_0","23427-0.0","f23427_0_0","23427","0","0","Biological samples > Blood assays > NMR metabolomics","220","Total Concentration of Lipoprotein Particles","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Concentration of Lipoprotein Particles from Nightingale Health data. Biomarker group: Lipoprotein particle concentrations","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23427"
"57","total_concentration_of_lipoprotein_particles_f23427_1_0","23427-1.0","f23427_1_0","23427","1","0","Biological samples > Blood assays > NMR metabolomics","220","Total Concentration of Lipoprotein Particles","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Concentration of Lipoprotein Particles from Nightingale Health data. Biomarker group: Lipoprotein particle concentrations","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23427"
"58","concentration_of_vldl_particles_f23428_0_0","23428-0.0","f23428_0_0","23428","0","0","Biological samples > Blood assays > NMR metabolomics","220","Concentration of VLDL Particles","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Concentration of VLDL Particles from Nightingale Health data. Biomarker group: Lipoprotein particle concentrations","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23428"
"59","concentration_of_vldl_particles_f23428_1_0","23428-1.0","f23428_1_0","23428","1","0","Biological samples > Blood assays > NMR metabolomics","220","Concentration of VLDL Particles","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Concentration of VLDL Particles from Nightingale Health data. Biomarker group: Lipoprotein particle concentrations","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23428"
"60","concentration_of_ldl_particles_f23429_0_0","23429-0.0","f23429_0_0","23429","0","0","Biological samples > Blood assays > NMR metabolomics","220","Concentration of LDL Particles","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Concentration of LDL Particles from Nightingale Health data. Biomarker group: Lipoprotein particle concentrations","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23429"
"61","concentration_of_ldl_particles_f23429_1_0","23429-1.0","f23429_1_0","23429","1","0","Biological samples > Blood assays > NMR metabolomics","220","Concentration of LDL Particles","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Concentration of LDL Particles from Nightingale Health data. Biomarker group: Lipoprotein particle concentrations","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23429"
"62","concentration_of_hdl_particles_f23430_0_0","23430-0.0","f23430_0_0","23430","0","0","Biological samples > Blood assays > NMR metabolomics","220","Concentration of HDL Particles","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Concentration of HDL Particles from Nightingale Health data. Biomarker group: Lipoprotein particle concentrations","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23430"
"63","concentration_of_hdl_particles_f23430_1_0","23430-1.0","f23430_1_0","23430","1","0","Biological samples > Blood assays > NMR metabolomics","220","Concentration of HDL Particles","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Concentration of HDL Particles from Nightingale Health data. Biomarker group: Lipoprotein particle concentrations","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23430"
"64","average_diameter_for_vldl_particles_f23431_0_0","23431-0.0","f23431_0_0","23431","0","0","Biological samples > Blood assays > NMR metabolomics","220","Average Diameter for VLDL Particles","121716","123142","Accruing","Continuous","nm","Data","Primary","Unisex","2","1",NA,"Average Diameter for VLDL Particles from Nightingale Health data. Biomarker group: Lipoprotein particle sizes","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23431"
"65","average_diameter_for_vldl_particles_f23431_1_0","23431-1.0","f23431_1_0","23431","1","0","Biological samples > Blood assays > NMR metabolomics","220","Average Diameter for VLDL Particles","121716","123142","Accruing","Continuous","nm","Data","Primary","Unisex","2","1",NA,"Average Diameter for VLDL Particles from Nightingale Health data. Biomarker group: Lipoprotein particle sizes","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23431"
"66","average_diameter_for_ldl_particles_f23432_0_0","23432-0.0","f23432_0_0","23432","0","0","Biological samples > Blood assays > NMR metabolomics","220","Average Diameter for LDL Particles","121716","123142","Accruing","Continuous","nm","Data","Primary","Unisex","2","1",NA,"Average Diameter for LDL Particles from Nightingale Health data. Biomarker group: Lipoprotein particle sizes","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23432"
"67","average_diameter_for_ldl_particles_f23432_1_0","23432-1.0","f23432_1_0","23432","1","0","Biological samples > Blood assays > NMR metabolomics","220","Average Diameter for LDL Particles","121716","123142","Accruing","Continuous","nm","Data","Primary","Unisex","2","1",NA,"Average Diameter for LDL Particles from Nightingale Health data. Biomarker group: Lipoprotein particle sizes","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23432"
"68","average_diameter_for_hdl_particles_f23433_0_0","23433-0.0","f23433_0_0","23433","0","0","Biological samples > Blood assays > NMR metabolomics","220","Average Diameter for HDL Particles","121716","123142","Accruing","Continuous","nm","Data","Primary","Unisex","2","1",NA,"Average Diameter for HDL Particles from Nightingale Health data. Biomarker group: Lipoprotein particle sizes","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23433"
"69","average_diameter_for_hdl_particles_f23433_1_0","23433-1.0","f23433_1_0","23433","1","0","Biological samples > Blood assays > NMR metabolomics","220","Average Diameter for HDL Particles","121716","123142","Accruing","Continuous","nm","Data","Primary","Unisex","2","1",NA,"Average Diameter for HDL Particles from Nightingale Health data. Biomarker group: Lipoprotein particle sizes","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23433"
"70","phosphoglycerides_f23434_0_0","23434-0.0","f23434_0_0","23434","0","0","Biological samples > Blood assays > NMR metabolomics","220","Phosphoglycerides","121633","123059","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Phosphoglycerides from Nightingale Health data. Biomarker group: Other lipids","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23434"
